THREONINE-DEG2-PWY,GJA5-553
GLNSYN-PWY,GJA5-1253
GLNSYN-PWY,GJA5-1252
PWY-6277,GJA5-1012
PWY-6277,GJA5-1010
PWY-6277,GJA5-1014
PWY-6277,GJA5-1009
PWY-6277,GJA5-1008
PWY-6277,GJA5-1011
PWY-7380,GJA5-2493
PWY-7380,GJA5-2491
PWY-7380,GJA5-2492
PWY-6910,GJA5-2155
PWY-6910,GJA5-582
PWY0-1507,GJA5-2493
PWY0-1507,GJA5-2491
PWY0-1507,GJA5-2492
P122-PWY,GJA5-1166
P122-PWY,GJA5-1717
P122-PWY,GJA5-803
P122-PWY,GJA5-804
P122-PWY,GJA5-380
P122-PWY,GJA5-806
P122-PWY,GJA5-830
P122-PWY,GJA5-2482
P122-PWY,GJA5-807
P122-PWY,GJA5-1727
P122-PWY,GJA5-591
P122-PWY,GJA5-2185
P122-PWY,GJA5-1993
P122-PWY,GJA5-164
P122-PWY,GJA5-145
P122-PWY,GJA5-608
P122-PWY,GJA5-1541
P122-PWY,GJA5-2649
P122-PWY,GJA5-229
P122-PWY,GJA5-896
P122-PWY,GJA5-2610
P122-PWY,GJA5-2577
P122-PWY,GJA5-1582
P122-PWY,GJA5-2098
ETOH-ACETYLCOA-ANA-PWY,GJA5-145
ETOH-ACETYLCOA-ANA-PWY,GJA5-608
ETOH-ACETYLCOA-ANA-PWY,GJA5-2185
ETOH-ACETYLCOA-ANA-PWY,GJA5-1993
ETOH-ACETYLCOA-ANA-PWY,GJA5-164
RUMP-PWY,GJA5-572
RUMP-PWY,GJA5-573
RUMP-PWY,GJA5-896
RUMP-PWY,GJA5-1541
FASYN-ELONG-PWY,GJA5-947
FASYN-ELONG-PWY,GJA5-1175
FASYN-ELONG-PWY,GJA5-919
FASYN-ELONG-PWY,GJA5-918
ARGDEGRAD-PWY,GJA5-2683
ARGDEGRAD-PWY,GJA5-1110
ARGDEGRAD-PWY,GJA5-2681
ARGDEGRAD-PWY,GJA5-1111
ARGDEGRAD-PWY,GJA5-2684
PWY0-381,GJA5-1244
PWY0-381,GJA5-893
PWY0-381,GJA5-42
PWY0-381,GJA5-1245
PWY-4261,GJA5-1244
PWY-4261,GJA5-1245
PWY-6543,GJA5-743
PWY-6543,GJA5-742
PWY-6543,GJA5-522
PWY-6543,GJA5-223
ARGORNPROST-PWY,GJA5-2683
ARGORNPROST-PWY,GJA5-1110
ARGORNPROST-PWY,GJA5-2681
ARGORNPROST-PWY,GJA5-1111
ARGORNPROST-PWY,GJA5-2684
ARGORNPROST-PWY,GJA5-181
ARGORNPROST-PWY,GJA5-891
ARGORNPROST-PWY,GJA5-1539
ARGORNPROST-PWY,GJA5-114
PWY4FS-8,GJA5-1205
PWY4FS-8,GJA5-1173
PWY4FS-8,GJA5-1447
PWY4FS-8,GJA5-1227
PWY-6578,GJA5-2489
PWY-6578,GJA5-2490
PWY-5480,GJA5-212
PWY-5480,GJA5-2185
PWY-5480,GJA5-1993
PWY-5480,GJA5-164
PWY-5480,GJA5-145
PWY-5480,GJA5-608
PWY-6599,GJA5-497
CITRULLINE-DEG-PWY,GJA5-2683
CITRULLINE-DEG-PWY,GJA5-1110
CITRULLINE-DEG-PWY,GJA5-2681
CITRULLINE-DEG-PWY,GJA5-1111
ANAGLYCOLYSIS-PWY,GJA5-1582
ANAGLYCOLYSIS-PWY,GJA5-896
ANAGLYCOLYSIS-PWY,GJA5-1728
ANAGLYCOLYSIS-PWY,GJA5-727
ANAGLYCOLYSIS-PWY,GJA5-2653
ANAGLYCOLYSIS-PWY,GJA5-2188
ANAGLYCOLYSIS-PWY,GJA5-119
ANAGLYCOLYSIS-PWY,GJA5-805
ANAGLYCOLYSIS-PWY,GJA5-1717
ANAGLYCOLYSIS-PWY,GJA5-803
ANAGLYCOLYSIS-PWY,GJA5-804
ANAGLYCOLYSIS-PWY,GJA5-807
ANAGLYCOLYSIS-PWY,GJA5-1727
ANAGLYCOLYSIS-PWY,GJA5-380
ANAGLYCOLYSIS-PWY,GJA5-806
ANAGLYCOLYSIS-PWY,GJA5-830
ANAGLYCOLYSIS-PWY,GJA5-2482
PWY-6620,GJA5-497
PWY-6620,GJA5-133
PWY-6620,GJA5-2201
THIOREDOX-PWY,GJA5-793
PWY-6609,GJA5-133
PWY-6609,GJA5-2201
PWY-6609,GJA5-497
PWY-6605,GJA5-1666
PWY-5785,GJA5-1204
