GJA5-1697	hemB	delta-aminolevulinic acid dehydratase	
GJA5-14	SAR0012	hydrolase	
GJA5-538	secE	preprotein translocase subunit SecE	
GJA5-1159	def	peptide deformylase	Q6GHM0
GJA5-1038	SAR1072	DNA-binding protein	
GJA5-1698	hemD	uroporphyrinogen III synthase	
GJA5-657	SAR0667	hypothetical protein	
GJA5-1699	hemC	porphobilinogen deaminase	
GJA5-15	SAR0013	hypothetical protein	
GJA5-1160	SAR1192	methionyl-tRNA formyltransferase	
GJA5-730	SAR0755	hypothetical protein	
GJA5-1700	SAR1751	hypothetical protein	
GJA5-658	SAR0668	hypothetical protein	
GJA5-851	SAR0879	NifU-like protein	
GJA5-403	SAR0419	hypothetical protein	
GJA5-1701	hemA	glutamyl-tRNA reductase	
GJA5-16	SAR0014	hypothetical protein	
GJA5-539	nusG	transcription antitermination protein	
GJA5-1161	SAR1193	hypothetical protein	
GJA5-1039	SAR1073	ABC transporter ATP-binding protein	
GJA5-1702	engB	ribosome biogenesis GTP-binding protein YsxC	
GJA5-1919	SARt042	tRNA-Ala	
GJA5-659	SAR0669	response regulator protein	
GJA5-947	fabI	enoyl-ACP reductase	
GJA5-1703	clpX	ATP-dependent protease ATP-binding subunit ClpX	
GJA5-17	rplI	50S ribosomal protein L9	
GJA5-1162	SAR1194	ribosomal RNA large subunit methyltransferase N	
GJA5-731	SAR0756	aldo/keto reductase	
GJA5-1704	tig	trigger factor	
GJA5-660	SAR0670	sensor histidine kinase	
GJA5-404	SAR0420	hypothetical protein	
GJA5-1705	SAR1756	hypothetical protein	
GJA5-18	dnaC	replicative DNA helicase	
GJA5-540	rplK	50S ribosomal protein L11	
GJA5-1163	SAR1195	protein phosphatase	
GJA5-1040	SAR1074	ABC transporter permease	
GJA5-1706	SAR1757	hypothetical protein	
GJA5-511	SARt009	tRNA-Arg	
GJA5-661	SAR0671	ABC transporter	
GJA5-852	SAR0880	hypothetical protein	Q6GIH0
GJA5-1707	rplT	50S ribosomal protein L20	
GJA5-19	purA	adenylosuccinate synthetase	
GJA5-1164	pknB	serine/threonine-protein kinase	
GJA5-732	SAR0757	glucosyl transferase	
GJA5-1708	rpmI	50S ribosomal protein L35	
GJA5-662	SAR0672	ABC transporter permease	
GJA5-405	SAR0421	hypothetical protein	
GJA5-1709	infC	translation initiation factor IF-3	
GJA5-22	yycF	response regulator protein	
GJA5-541	rplA	50S ribosomal protein L1	
GJA5-1165	SAR1197	hypothetical protein	
GJA5-1041	SAR1075	ABC transporter permease	
GJA5-1710	lysP	lysine-specific permease	
GJA5-663	SAR0673	hypothetical protein	
GJA5-948	SAR0979	hypothetical protein	
GJA5-1712	thrS	threonyl-tRNA synthetase	
GJA5-23	yycG	sensor kinase	
GJA5-1166	SAR1198	ribulose-phosphate 3-epimerase	
GJA5-733	saeS	histidine kinase	
GJA5-1714	dnaI	primosomal protein DnaI	
GJA5-1920	SARt043	tRNA-Pro	
GJA5-664	SAR0674	phosphate transport protein	
GJA5-406	SAR0422	superantigen-like protein	
GJA5-1715	dnaB	chromosome replication initiation/membrane attachment protein	
GJA5-24	yycH	hypothetical protein	
GJA5-542	rplJ	50S ribosomal protein L10	
GJA5-1167	SAR1199	hypothetical protein	
GJA5-1042	SAR1076	ABC transporter	
GJA5-1716	nrdR	NrdR family transcriptional regulator	
GJA5-665	SAR0675	hypothetical protein	
GJA5-853	SAR0881	hypothetical protein	
GJA5-1717	gap2	glyceraldehyde 3-phosphate dehydrogenase 2	
GJA5-25	yycI	hypothetical protein	
GJA5-1168	rpmB	50S ribosomal protein L28	
GJA5-734	saeR	response regulator protein	
GJA5-1718	coaE	dephospho-CoA kinase	
GJA5-666	SAR0676	hypothetical protein	
GJA5-407	SAR0423	superantigen-like protein	
GJA5-1719	SAR1768	formamidopyrimidine-DNA glycosylase	
GJA5-26	yycJ	metallo-beta-lactamase superfamily protein	
GJA5-543	rplL	50S ribosomal protein L7/L12	
GJA5-1169	SAR1201	hypothetical protein	
GJA5-2251	asp23	alkaline shock protein 23	
GJA5-1720	polA	DNA polymerase I	
GJA5-667	SAR0679	hypothetical protein	
GJA5-949	SAR0980	sodium:alanine symporter family protein	
GJA5-1866	SARt018	tRNA-Glu	
GJA5-1721	SAR1770	hypothetical protein	
GJA5-27	sasH	5'-nucleotidase	
GJA5-1170	SAR1202	hypothetical protein	Q6GHK9
GJA5-735	SAR0760	hypothetical protein	
GJA5-1722	phoR	alkaline phosphatase synthesis sensor protein	
GJA5-1921	SARt044	tRNA-Arg	
GJA5-668	SAR0680	hypothetical protein	Q6GJ02
GJA5-408	SAR0424	superantigen-like protein	
GJA5-1723	phoP	alkaline phosphatase synthesis transcriptional regulatory protein	
GJA5-28	SAR0024	rRNA large subunit methyltransferase	
GJA5-544	SAR0546	hypothetical protein	
GJA5-1044	SAR1078	hypothetical protein	
GJA5-1171	recG	ATP-dependent DNA helicase RecG	
GJA5-1724	citC	isocitrate dehydrogenase	
GJA5-1725	citZ	citrate synthase	
GJA5-512	SARt010	tRNA-Pro	
GJA5-669	SAR0681	hypothetical protein	
GJA5-854	SAR0882	hypothetical protein	
GJA5-1726	cycA	D-serine/D-alanine/glycine transporter	
GJA5-1727	pyk	pyruvate kinase	
GJA5-29	SAR0025	hypothetical protein	
GJA5-545	rpoB	DNA-directed RNA polymerase subunit beta	
GJA5-1172	SAR1204	fatty acid biosynthesis transcriptional regulator	
GJA5-1728	pfkA	6-phosphofructokinase	
GJA5-736	SAR0761	hypothetical protein	
GJA5-1729	accA	acetyl-CoA carboxylase carboxyltransferase subunit alpha	
GJA5-670	SAR0682	hypothetical protein	
GJA5-1730	accD	acetyl-CoA carboxylase subunit beta	
GJA5-409	SAR0425	superantigen-like protein	
GJA5-1731	SAR1780	NAD-dependent malic enzyme	
GJA5-30	SAR0026	hypothetical protein	
GJA5-1045	SAR1079	manganese transport protein MntH	
GJA5-1173	SAR1205	glycerol-3-phosphate acyltransferase PlsX	
GJA5-1732	dnaE	DNA polymerase III subunit alpha	
GJA5-1733	SAR1782	hypothetical protein	
GJA5-671	SAR0683	LysR family regulatory protein	
GJA5-1734	SAR1783	DNA-binding protein	
GJA5-950	SAR0981	hypothetical protein	
GJA5-31	SAR0027	transposase	
GJA5-546	rpoC	DNA-directed RNA polymerase subunit beta'	
GJA5-1174	fabD	malonyl CoA-ACP transacylase	
GJA5-737	SAR0762	hypothetical protein	
GJA5-1735	SAR1784	universal stress protein	
GJA5-672	SAR0684	sugar efflux transporter	
GJA5-1736	SAR1785	metal-dependent hydrolase	Q6GG00
GJA5-410	SAR0426	hypothetical protein	
GJA5-1737	SAR1786	metallopeptidase	Q6GFZ9
GJA5-1175	fabG	3-oxoacyl-ACP reductase	
GJA5-1046	SAR1080	hypothetical protein	Q6GHX9
GJA5-1738	ald1	alanine dehydrogenase	
GJA5-1739	SAR1788	universal stress protein	Q6GFZ7
GJA5-673	SAR0687	transposase	
GJA5-855	SAR0883	dioxygenase	Q6GIG7
GJA5-1740	ackA	acetate kinase	
GJA5-547	SAR0549	ribosomal protein L7Ae-like	
GJA5-33	SAR0030	hypothetical protein	
GJA5-1741	SAR1790	hypothetical protein	
GJA5-1176	acpP	acyl carrier protein	
GJA5-738	SAR0763	radical activating enzyme	
GJA5-1742	tpx	thiol peroxidase	
GJA5-1922	SARt045	tRNA-Leu	
GJA5-1743	SAR1792	hypothetical protein	
GJA5-674	SAR0688	hypothetical protein	
GJA5-411	set3	superantigen-like protein 5	
GJA5-1744	thiI	thiamine biosynthesis protein ThiI	
GJA5-34	pre	plasmid recombination enzyme	
GJA5-1745	SAR1794	aminotransferase class-V protein	
GJA5-1177	rnc	ribonuclease III	
GJA5-1047	SAR1081	inositol monophosphatase	
GJA5-1746	SAR1795	septation ring formation regulator EzrA	
GJA5-1747	SAR1796	hypothetical protein	
GJA5-675	arsR1	arsenical resistance operon repressor 1	
GJA5-1748	rpsD	30S ribosomal protein S4	
GJA5-951	SAR0982	hypothetical protein	
GJA5-548	rpsL	30S ribosomal protein S12	
GJA5-35	SAR0031a	hypothetical protein	
GJA5-1749	SAR1798	hypothetical protein	
GJA5-1178	SAR1210	chromosome partition protein	
GJA5-739	SAR0764	6-pyruvoyl-tetrahydropterin synthase	
GJA5-1750	SAR1799	OsmC-like protein	
GJA5-676	arsB1	arsenical pump membrane protein 1	
GJA5-1751	SAR1800	soluble hydrogenase subunit	
GJA5-412	set1	superantigen-like protein 7	
GJA5-1752	SAR1801	D-3-phosphoglycerate dehydrogenase	
GJA5-36	SAR0031b	hypothetical protein	
GJA5-1048	SAR1082	hypothetical protein	
GJA5-1179	SAR1211	cell division protein	
GJA5-1753	SAR1802	hypothetical protein	
GJA5-1754	SAR1803	PTS system IIBC component	
GJA5-677	arsC	arsenate reductase	
GJA5-856	SAR0884	hypothetical protein	
GJA5-1755	SAR1804	acyltransferase	
GJA5-1867	SARt019	tRNA-Asn	
GJA5-2425	SAR2446	permease	
GJA5-1756	SAR1805	protease	
GJA5-37	ble	bleomycin resistance protein	
GJA5-549	rpsG	30S ribosomal protein S7	
GJA5-1180	SAR1212	DNA-binding protein	Q6GHJ9
GJA5-2426	SAR2447	response regulator protein	
GJA5-1757	tyrS	tyrosyl-tRNA synthetase	
GJA5-740	SAR0765	hypothetical protein	
GJA5-2427	SAR2448	sensor kinase	
GJA5-1759	SAR1807	transglycosylase	
GJA5-678	SAR0693	hypothetical protein	
GJA5-2428	SAR2449	hypothetical protein	Q6GE71
GJA5-413	set5	superantigen-like protein	
GJA5-2429	SAR2450	hypothetical protein	
GJA5-38	knt	kanamycin nucleotidyltransferase	
GJA5-2430	SAR2451	hypothetical protein	
GJA5-1049	SAR1083	BipA family GTPase	
GJA5-1181	ffh	signal recognition particle protein	
GJA5-1761	SAR1809a	hypothetical protein	
GJA5-2431	SAR2452	ABC transporter ATP-binding protein	
GJA5-1923	SARt046	tRNA-Gly	
GJA5-513	SARt011	tRNA-Ala	
GJA5-1762	fhs	formate--tetrahydrofolate ligase	
GJA5-679	SAR0694	hypothetical protein	
GJA5-2432	SAR2453	hypothetical protein	
GJA5-2080	SAR2108	leukocidin S subunit	Q6GF49
GJA5-1763	acsA	acetyl-CoA synthetase	
GJA5-952	SAR0983	hypothetical protein	
GJA5-2433	mqo1	malate:quinone oxidoreductase	
GJA5-39	SAR0034	transposase	
GJA5-550	fus	elongation factor G	
GJA5-2434	lldP2	L-lactate permease 2	
GJA5-1182	rpsP	30S ribosomal protein S16	
GJA5-1764	acuA	acetoin utilization protein	
GJA5-741	SAR0766	glutamine amidotransferase class-I protein	
GJA5-2435	SAR2456	hypothetical protein	
GJA5-680	SAR0695	hypothetical protein	
GJA5-2436	SAR2457	hypothetical protein	Q6GE63
GJA5-1765	SAR1813	histone deacetylase	
GJA5-414	set4	superantigen-like protein	
GJA5-2437	SAR2458	acetyltransferase (GNAT) family protein	
GJA5-1766	ccpA	catabolite control protein A	
GJA5-2438	SAR2459	zinc-binding dehydrogenase	
GJA5-1183	rimM	16S rRNA-processing protein RimM	
GJA5-1050	SAR1084	hypothetical protein	
GJA5-1767	SAR1815	bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase	
GJA5-2439	SAR2460	acetyltransferase (GNAT) family protein	
GJA5-1768	SAR1816	hypothetical protein	
GJA5-681	SAR0696	hypothetical protein	
GJA5-857	SAR0885	hypothetical protein	
GJA5-2440	SAR2461	pyridine nucleotide-disulfide oxidoreductase	Q6GE59
